time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-04-02T23:58:12.173Z,23.8356,121.5976,40,7.4,mww,322,17,0.337,0.93,us,us7000m9g4,2025-01-30T03:33:06.675Z,"15 km S of Hualien City, Taiwan",earthquake,4.73,1.877,0.027,133,reviewed,us,us
2006-12-26T12:26:21.140Z,21.799,120.547,10,7.1,mwb,744,29.1,,1,us,usp000f114,2022-08-09T06:10:24.622Z,"30 km SW of Hengchun, Taiwan",earthquake,,,,,reviewed,us,us
2002-03-31T06:52:50.490Z,24.279,122.179,32.8,7.1,mwc,550,,,0.96,us,usp000b1e2,2022-05-02T15:47:40.432Z,"67 km ENE of Hualien City, Taiwan",earthquake,,3.4,,,reviewed,us,hrv
1999-09-20T17:47:18.490Z,23.772,120.982,33,7.7,mwc,,,,1.11,us,usp0009eq0,2022-04-29T18:27:36.664Z,"21 km S of Puli, Taiwan",earthquake,,,,,reviewed,us,hrv
1986-11-14T21:20:10.550Z,23.901,121.574,33.8,7.4,mw,,,,1.2,us,usp0003009,2022-04-27T22:00:01.821Z,"8 km SSW of Hualien City, Taiwan",earthquake,,,,,reviewed,us,hrv
1978-12-23T11:23:12.000Z,23.247,122.075,33,7,ms,,,,,us,usp0000y1y,2022-04-27T15:20:19.152Z,"94 km SSE of Hualien City, Taiwan",earthquake,,,,,reviewed,us,us
1978-07-23T14:42:36.900Z,22.282,121.512,17,7.4,ms,,,,,us,usp0000vpz,2022-04-27T15:33:14.901Z,"85 km ENE of Hengchun, Taiwan",earthquake,,,,,reviewed,us,us
1972-04-24T09:57:21.790Z,23.564,121.539,22.2,7,mw,,,,,iscgem,iscgem774714,2022-04-26T20:52:44.410Z,"46 km S of Hualien City, Taiwan",earthquake,,3.7,0.2,,reviewed,iscgem,iscgem
1972-01-25T03:41:24.780Z,23.107,121.974,25,7.11,mw,,,,,iscgem,iscgem777209,2022-04-26T20:57:59.791Z,"103 km SSE of Hualien City, Taiwan",earthquake,,3.9,0.38,,reviewed,iscgem,iscgem
1972-01-25T02:06:24.630Z,22.632,122.269,25,7.3,mw,,,,,iscgem,iscgem777208,2022-04-26T20:57:57.956Z,"163 km SSE of Hualien City, Taiwan",earthquake,,3.9,0.2,,reviewed,iscgem,iscgem
1963-02-13T08:50:04.250Z,24.411,122.094,30,7.2,mw,,,,,iscgem,iscgem871818,2022-04-27T00:18:44.546Z,"51 km SE of Yilan, Taiwan",earthquake,,3.9,0.2,,reviewed,iscgem,iscgem
1959-08-15T08:57:06.620Z,22.078,121.105,25,7.22,mw,,,,,iscgem,iscgem882641,2022-04-26T16:46:42.345Z,"38 km ENE of Hengchun, Taiwan",earthquake,,10.6,0.59,,reviewed,iscgem,iscgem
1951-11-24T18:50:24.400Z,23.092,121.214,30,7.81,mw,,,,,iscgem,iscgem894988,2022-04-26T18:21:28.191Z,"Taiwan",earthquake,,6.6,0.21,,reviewed,iscgem,iscgem
1951-11-24T18:47:18.300Z,23.046,121.249,25,7.34,mw,,,,,iscgemsup,iscgemsup894987,2022-05-09T20:31:45.252Z,"81 km E of Yujing, Taiwan",earthquake,,4.8,1.28,,reviewed,iscgemsup,iscgemsup
1951-10-22T03:29:35.570Z,23.917,121.343,25,7.23,mw,,,,,iscgem,iscgem894824,2022-04-26T18:18:57.636Z,"27 km WSW of Hualien City, Taiwan",earthquake,,4,0.41,,reviewed,iscgem,iscgem
1951-10-21T21:34:21.540Z,23.487,121.4,25,7.48,mw,,,,,iscgem,iscgem894821,2022-04-26T18:18:55.736Z,"58 km SSW of Hualien City, Taiwan",earthquake,,4,0.2,,reviewed,iscgem,iscgem
1941-12-16T19:19:43.640Z,23.29,120.419,15,7.22,mw,,,,,iscgem,iscgem901124,2022-04-26T19:32:46.390Z,"18 km NNW of Yujing, Taiwan",earthquake,,3.7,0.2,,reviewed,iscgem,iscgem
1938-12-06T23:00:52.970Z,22.841,121.52,15,7.02,mw,,,,,iscgem,iscgem902854,2022-04-25T21:03:42.663Z,"113 km ESE of Yujing, Taiwan",earthquake,,7.3,0.31,,reviewed,iscgem,iscgem
1938-09-07T04:03:19.810Z,23.807,121.506,15,7.09,mw,,,,,iscgem,iscgem902664,2022-04-25T20:58:06.567Z,"21 km SSW of Hualien City, Taiwan",earthquake,,7.1,0.39,,reviewed,iscgem,iscgem
1936-08-22T06:51:34.870Z,21.963,121.24,15,7.13,mw,,,,,iscgem,iscgem903796,2022-05-09T22:49:06.019Z,"51 km E of Hengchun, Taiwan",earthquake,,4,0.58,,reviewed,iscgem,iscgem
1935-09-04T01:37:43.770Z,22.331,121.284,15,7.09,mw,,,,,iscgem,iscgem904497,2022-04-25T21:35:44.952Z,"66 km ENE of Hengchun, Taiwan",earthquake,,3.8,0.53,,reviewed,iscgem,iscgem
1935-04-20T22:02:00.960Z,24.277,120.686,15,7.05,mw,,,,,iscgem,iscgem904224,2022-04-25T21:08:35.683Z,"14 km N of Taichung, Taiwan",earthquake,,4.5,0.59,,reviewed,iscgem,iscgem
1925-04-16T19:52:40.380Z,21.786,121.096,15,7.13,mw,,,,,iscgem,iscgem910450,2022-04-25T23:25:05.063Z,"43 km ESE of Hengchun, Taiwan",earthquake,,10.6,0.36,,reviewed,iscgem,iscgem
1922-09-01T19:16:07.420Z,24.364,122,20,7.69,mw,,,,,iscgem,iscgem911999,2022-04-25T23:41:45.422Z,"50 km SSE of Yilan, Taiwan",earthquake,,8,0.43,,reviewed,iscgem,iscgem
1920-06-05T04:21:35.170Z,23.688,121.954,20,8.23,mw,,,,,iscgem,iscgem912519,2022-04-25T23:46:53.529Z,"47 km SE of Hualien City, Taiwan",earthquake,,9.8,0.33,,reviewed,iscgem,iscgem
1919-12-20T20:37:34.180Z,22.529,121.787,20,7.4,mw,,,,,iscgem,iscgem913021,2022-04-25T23:54:30.351Z,"122 km ENE of Hengchun, Taiwan",earthquake,,11.2,0.28,,reviewed,iscgem,iscgem
1908-01-11T03:34:36.180Z,22.074,121.788,15,7.22,mw,,,,,iscgem,iscgem16957982,2022-04-25T20:29:26.059Z,"108 km E of Hengchun, Taiwan",earthquake,,12.8,0.2,,reviewed,iscgem,iscgem
